# %ECSV 1.0
# ---
# datatype:
# - {name: time, unit: ns, datatype: float64}
# - {name: longitudinal, unit: V/pC, datatype: float64}
# - {name: dipole_x, unit: V/pC/m, datatype: float64}
# - {name: dipole_y, unit: V/pC/m, datatype: float64}
# meta: !!omap
# - {origin: CST and IW2D}
# - {author: Keon Hee Kim}
# - {date of production: 2026/05/15}
# - {comments: contributions from RW bellows BPMs RF cavities}
# schema: astropy-2.0
time longitudinal dipole_x dipole_y
5.5665176206667610e-01 2.4900003372392658e+02 5.7154234214034395e+03 1.6642119087588101e+03
5.5675183129523564e-01 2.5081166033419603e+02 5.7296374634893200e+03 1.6684041347001541e+03
5.5685190052379507e-01 2.5251126172682311e+02 5.7442854860813668e+03 1.6728109930879823e+03
5.5695196975235450e-01 2.5409701769760403e+02 5.7593440733622956e+03 1.6774260812535219e+03
5.5705203898091393e-01 2.5556721144254587e+02 5.7747895366855155e+03 1.6822428240558818e+03
5.5715210820947347e-01 2.5692023156250593e+02 5.7905979340066069e+03 1.6872544791908961e+03
5.5725217743803279e-01 2.5815457396621326e+02 5.8067450895031898e+03 1.6924541426355709e+03
5.5735224666659233e-01 2.5926884365986598e+02 5.8232066133673670e+03 1.6978347542238068e+03
5.5745231589515176e-01 2.6026175641294765e+02 5.8399579217554256e+03 1.7033891033494954e+03
5.5755238512371130e-01 2.6113214029179608e+02 5.8569742568796828e+03 1.7091098347932657e+03
5.5765245435227062e-01 2.6187893705456997e+02 5.8742307072275271e+03 1.7149894546693727e+03
5.5775252358082994e-01 2.6250120340351236e+02 5.8917022278927734e+03 1.7210203364892570e+03
5.5785259280938948e-01 2.6299811209260935e+02 5.9093636610043841e+03 1.7271947273383028e+03
5.5795266203794880e-01 2.6336895289077387e+02 5.9271897562376034e+03 1.7335047541622230e+03
5.5805273126650834e-01 2.6361313340244857e+02 5.9451551913926451e+03 1.7399424301594490e+03
5.5815280049506777e-01 2.6373017974892792e+02 5.9632345930253741e+03 1.7464996612754612e+03
5.5825286972362720e-01 2.6371973711475113e+02 5.9814025571146994e+03 1.7531682527949297e+03
5.5835293895218663e-01 2.6358157016423797e+02 5.9996336697509323e+03 1.7599399160271532e+03
5.5845300818074617e-01 2.6331556333356201e+02 6.0179025278290865e+03 1.7668062750799163e+03
5.5855307740930560e-01 2.6292172100388814e+02 6.0361837597309450e+03 1.7737588737166657e+03
5.5865314663786503e-01 2.6240016756095952e+02 6.0544520459794576e+03 1.7807891822915267e+03
5.5875321586642446e-01 2.6175114734626322e+02 6.0726821398488682e+03 1.7878886047564160e+03
5.5885328509498400e-01 2.6097502450453237e+02 6.0908488879136803e+03 1.7950484857342090e+03
5.5895335432354332e-01 2.6007228273192032e+02 6.1089272505196577e+03 1.8022601176517098e+03
5.5905342355210286e-01 2.5904352492871215e+02 6.1268923221597306e+03 1.8095147479259322e+03
5.5915349278066229e-01 2.5788947275995184e+02 6.1447193517377309e+03 1.8168035861969829e+03
5.5925356200922172e-01 2.5661096612678352e+02 6.1623837627028452e+03 1.8241178116007404e+03
5.5935363123778115e-01 2.5520896255069491e+02 6.1798611730378070e+03 1.8314485800744021e+03
5.5945370046634069e-01 2.5368453647215571e+02 6.1971274150836634e+03 1.8387870316878066e+03
5.5955376969490001e-01 2.5203887846430615e+02 6.2141585551843245e+03 1.8461242979935105e+03
5.5965383892345955e-01 2.5027329436141721e+02 6.2309309131342789e+03 1.8534515093885971e+03
5.5975390815201898e-01 2.4838920430086142e+02 6.2474210814129065e+03 1.8607598024811766e+03
5.5985397738057840e-01 2.4638814167623821e+02 6.2636059441892685e+03 1.8680403274547480e+03
5.5995404660913795e-01 2.4427175199820550e+02 6.2794626960817222e+03 1.8752842554237729e+03
5.6005411583769737e-01 2.4204179165859597e+02 6.2949688606569334e+03 1.8824827857739963e+03
5.6015418506625692e-01 2.3970012659251699e+02 6.3101023086534751e+03 1.8896271534813588e+03
5.6025425429481601e-01 2.3724873083254425e+02 6.3248412759156718e+03 1.8967086364036595e+03
5.6035432352337555e-01 2.3468968494875355e+02 6.3391643810241067e+03 1.9037185625395407e+03
5.6045439275193498e-01 2.3202517436852941e+02 6.3530506426094216e+03 1.9106483172495832e+03
5.6055446198049441e-01 2.2925748757050715e+02 6.3664794963370314e+03 1.9174893504348126e+03
5.6065453120905384e-01 2.2638901414804863e+02 6.3794308115506628e+03 1.9242331836681319e+03
5.6075460043761338e-01 2.2342224273901738e+02 6.3918849075632788e+03 1.9308714172745254e+03
5.6085466966617281e-01 2.2035975882045858e+02 6.4038225695842420e+03 1.9373957373559836e+03
5.6095473889473224e-01 2.1720424236879362e+02 6.4152250642722693e+03 1.9437979227574456e+03
5.6105480812329167e-01 2.1395846538852030e+02 6.4260741549036611e+03 1.9500698519698324e+03
5.6115487735185121e-01 2.1062528931468782e+02 6.4363521161456838e+03 1.9562035099663174e+03
5.6125494658041064e-01 2.0720766229666486e+02 6.4460417484251375e+03 1.9621909949678598e+03
5.6135501580897007e-01 2.0370861637273498e+02 6.4551263918820750e+03 1.9680245251336958e+03
5.6145508503752961e-01 2.0013126454668878e+02 6.4635899398986267e+03 1.9736964451722179e+03
5.6155515426608893e-01 1.9647879777873823e+02 6.4714168521927750e+03 1.9791992328672445e+03
5.6165522349464847e-01 1.9275448190359558e+02 6.4785921674669116e+03 1.9845255055143969e+03
5.6175529272320790e-01 1.8896165448852992e+02 6.4851015156008007e+03 1.9896680262617826e+03
5.6185536195176733e-01 1.8510372164352765e+02 6.4909311293784485e+03 1.9946197103488373e+03
5.6195543118032676e-01 1.8118415479434344e+02 6.4960678557384999e+03 1.9993736312368758e+03
5.6205550040888630e-01 1.7720648742740795e+02 6.5004991665377047e+03 2.0039230266246714e+03
5.6215556963744562e-01 1.7317431181336821e+02 6.5042131688172040e+03 2.0082613043421436e+03
5.6225563886600516e-01 1.6909127571354355e+02 6.5071986145615419e+03 2.0123820481152352e+03
5.6235570809456459e-01 1.6496107907090442e+02 6.5094449099409103e+03 2.0162790231951901e+03
5.6245577732312402e-01 1.6078747068476443e+02 6.5109421240273805e+03 2.0199461818455436e+03
5.6255584655168345e-01 1.5657424486602923e+02 6.5116809969766364e+03 2.0233776686804599e+03
5.6265591578024288e-01 1.5232523806791869e+02 6.5116529476674295e+03 2.0265678258485236e+03
5.6275598500880231e-01 1.4804432548570441e+02 6.5108500807917353e+03 2.0295111980564971e+03
5.6285605423736162e-01 1.4373541761817063e+02 6.5092651933894567e+03 2.0322025374281413e+03
