# Freq(GHz) Re(Z) Im(Z)
3.770000e+00 2.472274e+04 1.596745e+03
3.780000e+00 2.482785e+04 1.537930e+03
3.790000e+00 2.493026e+04 1.474006e+03
3.800000e+00 2.502976e+04 1.405077e+03
3.810000e+00 2.512607e+04 1.331201e+03
3.820000e+00 2.521894e+04 1.252441e+03
3.830000e+00 2.530824e+04 1.169034e+03
3.840000e+00 2.539379e+04 1.081119e+03
3.850000e+00 2.547451e+04 9.890402e+02
3.860000e+00 2.555063e+04 8.928709e+02
3.870000e+00 2.562241e+04 7.926610e+02
3.880000e+00 2.568970e+04 6.885702e+02
3.890000e+00 2.575232e+04 5.807808e+02
3.900000e+00 2.581011e+04 4.694862e+02
3.910000e+00 2.586293e+04 3.548796e+02
3.920000e+00 2.591062e+04 2.371541e+02
3.930000e+00 2.595303e+04 1.165143e+02
3.940000e+00 2.598993e+04 -6.962769e+00
3.950000e+00 2.602130e+04 -1.329519e+02
3.960000e+00 2.604704e+04 -2.612085e+02
3.970000e+00 2.606705e+04 -3.915067e+02
3.980000e+00 2.608125e+04 -5.236197e+02
3.990000e+00 2.608956e+04 -6.573097e+02
4.000000e+00 2.609189e+04 -7.923396e+02
4.010000e+00 2.608820e+04 -9.284716e+02
4.020000e+00 2.607841e+04 -1.065468e+03
4.030000e+00 2.606250e+04 -1.203082e+03
4.040000e+00 2.604042e+04 -1.341052e+03
4.050000e+00 2.601217e+04 -1.479153e+03
4.060000e+00 2.597772e+04 -1.617126e+03
4.070000e+00 2.593694e+04 -1.754864e+03
4.080000e+00 2.588995e+04 -1.891989e+03
4.090000e+00 2.583680e+04 -2.028242e+03
4.100000e+00 2.577748e+04 -2.163358e+03
4.110000e+00 2.571099e+04 -2.296403e+03
4.120000e+00 2.563845e+04 -2.427833e+03
4.130000e+00 2.555991e+04 -2.557424e+03
4.140000e+00 2.547546e+04 -2.684917e+03
4.150000e+00 2.538515e+04 -2.810074e+03
4.160000e+00 2.528910e+04 -2.932673e+03
4.170000e+00 2.518738e+04 -3.052477e+03
4.180000e+00 2.508012e+04 -3.169263e+03
4.190000e+00 2.496742e+04 -3.282806e+03
4.200000e+00 2.484931e+04 -3.392994e+03
4.210000e+00 2.472598e+04 -3.499563e+03
4.220000e+00 2.459763e+04 -3.602273e+03
4.230000e+00 2.446438e+04 -3.700901e+03
4.240000e+00 2.432642e+04 -3.795277e+03
4.250000e+00 2.418390e+04 -3.885193e+03
